date,description,MTL000016,MTL000042,MTL000070,MTL000163,MTL000045,MTL000050,MTL000363,MTL000010,MTL000121,MTL000031,MTL000018,MTL000039,MTL000305,MTL000222,MTL000024,MTL000248,MTL000131,MTL000007,MTL000103,MTL000022,MTL000034,MTL000041,MTL000060,MTL000025,MTL000026,MTL000409,MTL000028,MTL000394,MTL000012,MTL000044,MTL000023,MTL000009,MTL000002,MTL000021,MTL000013,MTL000369,MTL000408,MTL000143,MTL000172,MTL000133,MTL000371,MTL000158,MTL000054,MTL000004,MTL000381,MTL000015,MTL000030,MTL000017,MTL000383,MTL000047,MTL000402,MTL000137,MTL000035,MTL000005,MTL000171,MTL000275,MTL000129,MTL000001,MTL000090,MTL000213,MTL000019,MTL000036,MTL000247,MTL000027,MTL000142,MTL000280,MTL000089,MTL000020,MTL000118,MTL000006,MTL000008,MTL000359,MTL000014,MTL000043,MTL000107,MTL000032,MTL000011,MTL000051,MTL000052,MTL000040,MTL000049,MTL000168,MTL000289,MTL000048,MTL000387,MTL000354,MTL000033,MTL000029,MTL000161,MTL000385,MTL000037,MTL000038,MTL000159,MTL000046,MTL000003,MTL000066
2017-04-20 00:00:00,Provide property tax exemption for certain residential property,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N,N/A,N/A,N/A,N,NV,N/A,Y,N,N/A,N,N/A,N/A,N/A,Y,N/A,N/A,N,N/A,Y,N/A,Y,N/A,Y,N/A,Y,N,Y,Y,Y,Y,N,N,N/A,N,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N,N/A,N/A,Y,N,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,Y,N/A,N/A,Y,N/A,Y,N,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y
2017-02-10 00:00:00,Provide property tax exemption for certain residential property,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017-03-23 00:00:00,Provide property tax exemption for certain residential property,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N,N/A,N/A,N/A,N,N,N/A,Y,Y,N/A,N,N/A,N/A,N/A,Y,N/A,N/A,N,N/A,N,N/A,N,N/A,Y,N/A,Y,N,Y,Y,Y,Y,N,N,N/A,N,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,NV,N/A,N/A,Y,N,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y
2017-04-20 00:00:00,Provide property tax exemption for certain residential property,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N,N/A,N/A,N/A,N,N,N/A,Y,N,N/A,N,N/A,N/A,N/A,Y,N/A,N/A,N,N/A,Y,N/A,N,N/A,Y,N/A,Y,N,Y,Y,Y,Y,N,N,N/A,N,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N,N/A,N/A,Y,N,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,Y,N/A,N/A,Y,N/A,Y,N,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y
2017-02-20 00:00:00,Provide property tax exemption for certain residential property,N/A,N/A,N/A,N/A,N/A,N/A,Y,N,N,N/A,N/A,N/A,N,N,N/A,Y,N,N/A,N,N/A,N/A,N/A,Y,N/A,N/A,N,N/A,N,N/A,N,N/A,Y,N/A,N,N,Y,N,Y,Y,N,N,N/A,N,N/A,Y,N/A,N/A,N/A,NV,N/A,Y,Y,N/A,N/A,Y,N,N/A,N/A,Y,N,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,Y,N/A,N/A,Y,N/A,Y,N,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y
2017-04-18 00:00:00,Provide property tax exemption for certain residential property,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N,Y,N/A,Y,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,N/A,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y
2017-03-21 00:00:00,Provide property tax exemption for certain residential property,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017-03-24 00:00:00,Provide property tax exemption for certain residential property,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N,N/A,N/A,N/A,N,N,N/A,Y,Y,N/A,N,N/A,N/A,N/A,Y,N/A,N/A,N,N/A,N,N/A,N,N/A,Y,N/A,Y,N,Y,Y,Y,Y,N,N,N/A,N,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N,N/A,N/A,Y,N,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,Y,N/A,N/A,N,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y
2017-02-20 00:00:00,Provide property tax exemption for certain residential property,N/A,N/A,N/A,N/A,N/A,N/A,N,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N,Y,N/A,Y,N/A,N/A,N/A,N,N/A,N/A,Y,N/A,N,N/A,Y,N/A,N,N/A,N,Y,N,N,N,N,Y,Y,N/A,Y,N/A,N,N/A,N/A,N/A,NV,N/A,N,N,N/A,N/A,N,Y,N/A,N/A,N,Y,N/A,N/A,N/A,N,N/A,Y,N,N/A,N,N/A,N/A,N,N/A,Y,Y,N/A,N/A,N,N/A,N/A,N/A,N,N,N/A,N,N,N/A,N/A,N,N,N/A,N/A,N,N/A,N/A,N
2017-04-20 00:00:00,Authorize necessary measures to implement House Bill 2,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y
2017-03-28 00:00:00,Authorize necessary measures to implement House Bill 2,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,Y,N,Y,Y,Y,N/A,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y
2017-04-26 00:00:00,Authorize necessary measures to implement House Bill 2,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,Y,N,N,Y,N,N/A,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,N,Y,N/A,N/A,N/A,Y,N/A,Y,N,N/A,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N,N,N/A,N,Y,N/A,N/A,NV,N,N/A,N/A,NV,N/A,N/A,Y
2017-03-29 00:00:00,Authorize necessary measures to implement House Bill 2,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y
2017-03-24 00:00:00,Authorize necessary measures to implement House Bill 2,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
