"Senator1","Senator2","Weight2003","Weight2004","Weight2005","Weight2006","Weight2007","Weight2008","Weight2009","Weight2010","Weight2011","Weight2012","Weight2013","Weight2014","Weight2015","Weight2016","Weight2017"
"Sheehan","Quezada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983606557377049
"Sheehan","Seveney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983606557377049
"Sheehan","Cote",0.967521367521368,0.964566929133858,0.96031746031746,0.976083707025411,0.935871743486974,0.958904109589041,0.932584269662921,0.939583333333333,0.964143426294821,0.972727272727273,0.963249516441006,0.971774193548387,0.982968369829684,0.984615384615385,0.983333333333333
"Sheehan","Metts",0.976950354609929,NA,0.9392,0.983216783216783,0.938775510204082,0.936131386861314,0.927302100161551,0.963133640552995,0.983903420523139,0.979695431472081,0.977469670710572,0.97843137254902,1,0.975346687211094,0.982758620689655
"Sheehan","Pichardo",0.98109640831758,0.957534246575342,0.938697318007663,0.97887323943662,0.959839357429719,0.925,0.927364864864865,0.956719817767654,0.982062780269058,0.986046511627907,0.95970695970696,0.977687626774848,0.997093023255814,0.989915966386555,NA
"Sheehan","Mccaffrey",0.972555746140652,0.957880434782609,0.956591639871383,0.986522911051213,0.973251028806584,0.960714285714286,0.926791277258567,0.953191489361702,0.977505112474438,0.98695652173913,0.97131931166348,0.978388998035363,1,0.984544049459042,0.983606557377049
"Sheehan","Maher",0.959219858156028,0.952380952380952,0.957169459962756,0.963691376701967,0.893939393939394,0.923076923076923,0.899159663865546,0.927966101694915,0.918238993710692,0.941043083900227,NA,NA,NA,NA,NA
"Sheehan","Roberts",0.989733059548255,0.963715529753266,0.968342644320298,0.989690721649485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sheehan","Fogarty",0.982332155477032,0.967948717948718,0.977229601518027,0.984869325997249,0.963440860215054,0.985714285714286,0.929392446633826,0.967010309278351,0.985943775100402,0.982608695652174,0.973333333333333,0.980891719745223,0.995073891625616,0.98030303030303,0.983606557377049
"Sheehan","Maselli",NA,NA,NA,NA,0.963320463320463,0.94990366088632,0.934681181959565,0.953781512605042,NA,NA,NA,NA,NA,NA,NA
